record_id,gender,gaming_platform,age_group,game_genre,primary_game,daily_gaming_hours,sleep_status,sleep_hours,sleep_disruption_frequency,mood_swing_frequency,gaming_addiction_risk_level,academic_work_performance,grades_gpa,work_productivity_score,exercise_hours_weekly,social_isolation_score,eye_strain,back_neck_pain,monthly_game_spending_usd
GD0001,Male,Mobile,13-18,"Mobile Games","Clash of Clans",11.1,"Very Poor",3.7,Sometimes,Never,Severe,"Below Average",1.25,,3.7,7,TRUE,FALSE,383.7
GD0002,Male,PC,19-24,MOBA,"Dota 2",3,Good,7.2,Rarely,Often,Low,Good,3.75,2,8.5,2,FALSE,FALSE,46.64
GD0003,Male,PC,19-24,FPS,CS:GO,7.6,Poor,4.4,Often,Rarely,Severe,Poor,,9,7.1,5,FALSE,TRUE,100.81
GD0004,Female,Multi-platform,19-24,RPG,Skyrim,7.2,Poor,5.1,Often,Daily,High,Poor,1.62,2,5.2,4,TRUE,TRUE,51.6
GD0005,Male,Multi-platform,13-18,"Battle Royale","Apex Legends",6.8,"Very Poor",3.4,Never,Daily,Moderate,Average,2.44,,6.1,4,FALSE,FALSE,32.57
GD0006,Male,Mobile,19-24,"Mobile Games","Clash of Clans",2.1,Good,7.5,Rarely,Never,Low,Good,3.81,4,10.8,1,FALSE,FALSE,8.63
GD0007,Male,Multi-platform,19-24,FPS,"Call of Duty",2.7,Good,7.2,Often,Rarely,Low,"Below Average",1.82,6,10,2,FALSE,FALSE,35.25
GD0008,Female,Mobile,25-30,"Mobile Games","Clash of Clans",10.3,Poor,5.2,Sometimes,Rarely,Severe,Poor,,1,5.6,6,TRUE,TRUE,299.28
GD0009,Male,Multi-platform,13-18,"Mobile Games","Genshin Impact",1.4,Good,8.9,Always,Daily,Low,Good,2.43,,10.1,1,FALSE,FALSE,49.4
GD0010,Male,Multi-platform,13-18,MMO,"Final Fantasy XIV",7.6,"Very Poor",3.5,Often,Never,Severe,Average,1.13,,4.5,6,TRUE,FALSE,135.2
GD0011,Male,PC,13-18,FPS,CS:GO,1.5,Good,8.4,Often,Daily,Low,Good,3.04,,10.1,1,FALSE,FALSE,28.23
GD0012,Male,PC,13-18,Strategy,"StarCraft II",3,Good,7.2,Sometimes,Rarely,Low,Excellent,3.15,,9.4,1,FALSE,FALSE,46.36
GD0013,Male,Multi-platform,25-30,"Mobile Games","Genshin Impact",9.5,"Very Poor",3.6,Never,Rarely,High,Poor,,8,5.1,5,TRUE,TRUE,482.71
GD0014,Male,Multi-platform,19-24,RPG,Skyrim,5.1,Poor,5.3,Never,Rarely,Low,Average,3.25,6,7.6,3,TRUE,FALSE,36.07
GD0015,Male,Multi-platform,19-24,RPG,"Elden Ring",5.8,Poor,5.2,Often,Rarely,Low,Good,2.54,2,8.2,3,FALSE,TRUE,104.01
GD0016,Male,Mobile,25-30,"Mobile Games","Clash of Clans",7.3,Fair,5.6,Often,Never,High,Poor,,5,6.9,6,TRUE,TRUE,68.25
GD0017,Male,Multi-platform,19-24,"Mobile Games","Genshin Impact",3,Good,7.4,Sometimes,Never,Low,Poor,1.64,3,6.7,3,FALSE,FALSE,1.63
GD0018,Female,PC,19-24,MOBA,"League of Legends",11.3,Poor,4.6,Sometimes,Often,High,Poor,1.89,8,4.9,9,TRUE,TRUE,77.24
GD0019,Male,Multi-platform,19-24,FPS,"Call of Duty",8.4,"Very Poor",3.2,Always,Sometimes,Severe,Average,2.76,2,7.1,7,TRUE,FALSE,118.79
GD0020,Male,Multi-platform,19-24,"Battle Royale",Warzone,9.4,Poor,5.5,Sometimes,Rarely,Severe,"Below Average",2.14,7,4.8,7,FALSE,TRUE,120.16
GD0021,Male,Multi-platform,19-24,RPG,"Cyberpunk 2077",6.5,Poor,4.4,Always,Never,Moderate,"Below Average",2.91,3,6.4,6,TRUE,FALSE,16.99
GD0022,Female,PC,13-18,MOBA,"League of Legends",6.1,Poor,5.3,Sometimes,Often,Moderate,Good,1.12,,5.8,1,FALSE,TRUE,53.52
GD0023,Female,Multi-platform,13-18,RPG,Skyrim,6.3,Fair,6.5,Rarely,Never,Moderate,Average,3.27,,7.5,4,TRUE,FALSE,126.54
GD0024,Female,Multi-platform,19-24,"Battle Royale",PUBG,8.9,Fair,5.7,Never,Rarely,High,Average,2.63,8,5.7,5,TRUE,TRUE,66.37
GD0025,Male,Mobile,19-24,"Mobile Games","Candy Crush",5.2,Fair,7,Rarely,Rarely,Low,Good,1.94,1,6.2,2,FALSE,FALSE,60.06
GD0026,Male,Mobile,19-24,"Mobile Games","Candy Crush",3.4,Good,8.7,Always,Sometimes,Low,Average,3.41,9,7.8,3,FALSE,FALSE,37.26
GD0027,Male,Multi-platform,13-18,"Battle Royale","Apex Legends",5.9,Fair,6.6,Always,Often,Low,"Below Average",3.91,,8,3,TRUE,TRUE,55.47
GD0028,Male,Multi-platform,13-18,MMO,"Final Fantasy XIV",8.2,Poor,5.4,Always,Rarely,Moderate,Poor,3.71,,6.5,5,TRUE,TRUE,57.15
GD0029,Male,PC,19-24,MMO,"World of Warcraft",1.2,Good,7.1,Always,Sometimes,Low,Good,2.31,9,8.6,2,FALSE,FALSE,34.91
GD0030,Female,Multi-platform,19-24,RPG,Skyrim,4.7,Fair,5.8,Rarely,Sometimes,Low,Average,1.62,4,5.6,3,TRUE,FALSE,126.85
GD0031,Male,Multi-platform,19-24,RPG,"Cyberpunk 2077",1,Good,7.3,Sometimes,Never,Low,Average,1.21,5,8.9,1,FALSE,FALSE,21.09
